CENSUS_YEAR,COMM_CODE,DWELLING_CNT,RESIDENT_CNT,OCPD_DWELLING_CNT,VACANT_DWELLING_CNT,OCPD_OWNERSHIP_CNT,RENOVATION_DWELLING_CNT,UNDER_CONST_DWELLING_CNT,INACTIVE_CNT,OTHER_PURPOSE_CNT
2006,WLD,"1,051","2,621","1,033",18,930,0,0,0,0
2006,FAL,"3,362","10,229","3,231",110,"2,038",5,0,13,3
2007,SOM,"3,132","8,488","3,091",34,"2,722",4,0,1,2
2017,GTI,1,0,1,0,0,0,0,0,0
2003,SUN,4,0,0,4,0,0,0,0,0
2017,NHU,246,618,241,2,226,2,0,1,0
2002,X04,0,10,0,0,0,0,0,0,0
2007,ASP,660,"1,414",417,9,400,8,211,9,6
1999,X14,68,166,64,3,33,0,0,0,
2001,S23,5,14,4,0,1,0,0,0,1
2011,SIG,"5,252","13,795","5,101",140,"4,791",7,0,1,3
2010,STD,2,0,2,0,0,0,0,0,0
2013,DRG,"1,501","4,173","1,483",15,"1,094",1,0,1,1
2016,GRV,"1,120","1,977","1,010",81,395,11,5,11,2
2014,CFC,181,414,155,5,145,2,18,0,1
2010,MAC,"1,779","5,114","1,745",31,"1,550",3,0,0,0
2013,ALB,"2,705","6,049","2,546",97,739,10,3,26,23
2018,GBP,0,0,0,0,0,0,0,0,0
2019,WBN,"3,372","8,866","3,328",36,"2,959",6,2,0,0
1998,WIN,"1,685","3,709","1,647",38,"1,166",0,0,,
2015,RIV,"3,452","9,612","3,427",21,"3,104",1,0,1,2
2006,POI,846,"1,344",818,24,681,4,0,0,0
2008,WSP,"2,289","6,182","2,078",50,"1,964",2,148,1,10
2001,SOC,"1,905","3,489","1,797",67,698,5,21,11,4
2011,HPK,"2,120","3,534","1,828",205,547,6,16,59,6
2016,GBK,"3,325","7,181","3,094",190,"1,586",15,7,13,6
2018,RMT,571,"1,200",517,43,315,1,4,6,0
2006,BEL,158,484,149,4,147,1,2,2,0
2017,HAY,"3,646","7,076","3,417",176,"1,997",13,0,34,6
2017,CAM,934,"2,075",864,49,532,7,0,12,2
2004,PUM,560,"1,849",550,9,417,1,0,0,0
2019,DNC,"5,679","8,683","5,131",398,342,9,0,27,114
2018,BRT,314,680,285,14,231,3,12,0,0
2010,SKW,0,0,0,0,0,0,0,0,0
2014,MON,"1,893","4,099","1,764",51,975,14,49,10,5
1999,BUR,2,2,1,1,1,0,0,0,
1999,BRE,"2,548","6,466","2,511",33,"1,823",0,0,1,
2003,ASP,98,220,71,9,66,0,15,0,3
2006,ABB,"2,018","6,012","1,932",47,"1,482",13,0,26,0
2007,SNA,"2,128","3,241","1,909",53,532,91,9,57,9
2012,COL,978,"2,221",934,39,699,1,2,2,0
2002,GPK,5,8,4,0,2,0,0,1,0
2014,S23,1,0,0,1,0,0,0,0,0
2018,X03,19,58,18,0,20,0,0,0,1
2009,MLR,"2,627","6,745","2,451",63,"2,054",7,104,0,2
2015,X12,131,325,117,5,104,2,0,1,6
2003,CRM,145,310,109,7,109,0,29,0,0
2012,SKR,"1,306","2,990",941,26,844,0,295,0,44
2012,EAG,110,415,97,11,95,0,2,0,0
2008,GDL,"1,104","2,743","1,080",15,877,6,3,0,0
1999,EFV,0,0,0,0,0,0,0,0,
2002,ALT,"3,536","6,407","2,972",98,"1,813",42,399,12,13
2014,BNF,"1,952","4,199","1,832",29,646,12,24,49,6
2015,SAD,"4,918","18,994","4,710",124,"3,566",3,38,33,10
2004,SIG,"5,281","13,778","5,075",94,"4,852",3,105,0,4
2013,CLI,"1,351","1,952","1,308",29,299,8,0,3,3
2004,CHR,728,"2,272",718,10,689,0,0,0,0
2001,KIN,"2,371","4,538","2,313",46,800,1,0,2,9
